id,prompt
1,An apple sits on the plate.
2,An apple rests on the windowsill.
3,An apple lies on a wooden table.
4,A hand holds an apple.
5,A child eats an apple.
6,An apple floats in the sink.
7,An apple sits in a fruit bowl.
8,An apple sits on a cutting board.
9,An apple rests under a desk lamp.
10,An apple lies on a picnic blanket.
11,An apple sits on fresh snow.
12,An apple rests on a park bench.
13,An apple sits beside a mug.
14,An apple hangs from a branch.
15,An apple rests on a grocery scale.
16,An apple sits in a lunchbox.
17,An apple rests on a classroom desk.
18,An apple sits on a car dashboard.
19,An apple rests inside a clear bag.
20,An apple sits on wet grass.
21,An apple rests on a metal tray.
22,An apple lies on a beach towel.
23,An apple rests near a running faucet.
24,An apple balances on a book.
25,An apple sits on a cafe table.
26,An apple sits on a kitchen counter.
27,Two apples rest on a white plate.
28,An apple rolls across the floor.
29,An apple rests beside a keyboard.
30,An apple sits in a bicycle basket.
31,An apple rests on a stone wall.
32,An apple sits under a blue umbrella.
33,An apple rests near a sleeping cat.
34,An apple lies on a newspaper.
35,An apple rests on a wooden stool.
36,An apple sits in a clear bowl.
37,An apple rests on a picnic table.
38,An apple sits on a bright napkin.
39,An apple rests on a garden path.
40,An apple sits in a market crate.
41,An apple rests under morning sunlight.
42,An apple hangs from a snowy branch.
43,An apple rests on a city sidewalk.
44,An apple rests on a grill grate.
45,An apple lies on a paper towel.
46,An apple sits on a studio table.
47,An apple rests beside a baby.
48,An apple sits on a fence post.
49,An apple rests on a boat deck.
50,An apple lies on a train seat.
51,An apple rests on a stack of books.
52,An apple sits on a cafe saucer.
53,An apple floats near a pool ladder.
54,An apple rests near a campfire.
55,An apple sits on a picnic bench.
56,An apple rests on a yoga mat.
57,An apple lies beside a skate helmet.
58,An apple sits beside a chef hat.
59,An apple rests next to a record player.
60,An apple lies on a calendar page.
61,An apple rests on a doorstep.
62,An apple sits beside a stack of plates.
63,An apple lies on a cutting mat.
64,An apple sits near a garden hose.
65,An apple rests on a windowsill at night.
66,An apple sits under a streetlight at night.
67,An apple rests on a picnic basket lid.
68,An apple sits in a child's hand.
69,An apple rests on a dark countertop.
70,An apple sits in a mesh produce bag.
71,An apple rests on a rocking chair.
72,An apple lies on a museum bench.
73,An apple rests on a postage scale.
74,An apple sits on a cafeteria tray.
75,An apple rests under an open umbrella.
76,An apple sits on a straw hat.
77,An apple rests beside a paint palette.
78,An apple lies on a chessboard square.
79,An apple rests on a spiral notebook.
80,An apple sits atop a tree stump.
81,An apple rests in a refrigerator drawer.
82,An apple sits by a window fan.
83,An apple rests on a breakfast tray.
84,An apple sits on a checkered tablecloth.
85,An apple rests in a grocery cart.
86,An apple sits on a weighing scale.
87,An apple rests on a folding chair.
88,An apple lies on a pebble beach.
89,An apple sits near a dog bowl.
90,An apple rests in a ceramic bowl.
91,An apple sits on a cafe counter.
92,An apple rests on a mailbox.
93,An apple lies near a bicycle tire.
94,An apple rests on a radiator cover.
95,An apple sits beside a sewing machine.
96,An apple rests on a picnic cooler.
97,An apple sits on a wooden fence rail.
98,An apple rests beneath a kitchen window.
99,An apple sits next to a raincoat.
100,An apple rests on a study desk.
